invoice_id,customer_id,amount,date,category,status,days_to_pay,previous_invoices,is_fraud
DEMO_FRAUD_001,SUSPECT_CORP,5000,2024-04-28,Web Dev,Unpaid,150,0,1
DEMO_NORMAL_001,TRUSTED_CORP,2000,2024-04-28,Consulting,Paid,30,5,0
DEMO_FRAUD_002,SHADY_LLC,3500,2024-04-27,Marketing,Unpaid,120,0,1
DEMO_NORMAL_002,RELIABLE_INC,1800,2024-04-28,Design,Paid,45,8,0
DEMO_FRAUD_003,PHANTOM_CO,4500,2024-04-26,Web Dev,Unpaid,160,1,1
DEMO_NORMAL_003,LONGTERM_PARTNER,2500,2024-04-28,Consulting,Paid,20,15,0
DEMO_FRAUD_004,NEWBIE_FRAUD,1500,2024-04-25,Content,Pending,180,0,1
DEMO_NORMAL_004,ESTABLISHED_FIRM,3000,2024-04-27,Marketing,Paid,35,10,0
DEMO_FRAUD_005,BULK_FAKER,6000,2024-04-24,Web Dev,Unpaid,140,0,1
DEMO_NORMAL_005,GOOD_CLIENT,2200,2024-04-28,Design,Paid,25,12,0
DEMO_FRAUD_006,DUPLICATE_INC,2000,2024-04-23,Consulting,Unpaid,110,0,1
DEMO_NORMAL_006,QUALITY_PARTNER,1900,2024-04-28,Content,Paid,40,7,0
DEMO_FRAUD_007,TIMING_SCAMMER,3200,2024-04-22,Marketing,Unpaid,130,2,1
DEMO_NORMAL_007,SOLID_VENDOR,2700,2024-04-28,Web Dev,Paid,18,9,0
DEMO_FRAUD_008,VELOCITY_FRAUD,2800,2024-04-21,Design,Unpaid,125,0,1
DEMO_NORMAL_008,REGULAR_CLIENT,2100,2024-04-28,Consulting,Paid,32,6,0
DEMO_FRAUD_009,MISMATCH_CO,5500,2024-04-20,Marketing,Unpaid,150,1,1
DEMO_NORMAL_009,TRUSTED_PARTNER,1950,2024-04-28,Content,Paid,28,11,0
DEMO_FRAUD_010,VARIANCE_INC,4200,2024-04-19,Web Dev,Unpaid,135,0,1
DEMO_NORMAL_010,CONSISTENT_FIRM,2300,2024-04-28,Design,Paid,22,8,0
